,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
0,7384-1,,,,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/7384-1.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7384-1.jpg,,,,,,,,,,,,,,,,,,,,,62,0.62,,,,,,,,,,,21.26,2126,,,,,,,,,,,,,,,42.5,4252,20,,53,4724.5,,E139960,E100010 - Deaktiveret,E139960 - Deaktiveret
1,7447,,,,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/7447.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7447.jpg,,,,,,,,,,,,,,,,,,,,,1,0.1,,,,,,,,,,,24.02,2402,,,,,,,,,,,,,,,48,4804,20,,60,5337.75,,E139970,E100010 - Deaktiveret,E139970 - Deaktiveret
2,122097-1,,,,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/122097-1.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/122097-1.jpg,,,,,,,,,,,,,,,,,,,,,28,0.28,,,,,,,,,,,28.51,2851,,,,,,,,,,,,,,,57,5702,20,,71.25,6335.5,,E139980,E100010 - Deaktiveret,E139980 - Deaktiveret
3,7920,,,,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/7920.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7920.jpg,,,,,,,,,,,,,,,,,,,,,28,0.28,,,,,,,,,,,30.79,3079,,,,,,,,,,,,,,,61.5,6158,20,,77,6842.25,,E139990,E100010 - Deaktiveret,E139990 - Deaktiveret
4,122098-1,,,,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/122098-1.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/122098-1.jpg,,,,,,,,,,,,,,,,,,,,,32,0.32,,,,,,,,,,,31.79,3179,,,,,,,,,,,,,,,63.5,6358,20,,79.5,7064.5,,E140000,E100010 - Deaktiveret,E140000 - Deaktiveret
5,122099-1,,,,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/122099-1.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/122099-1.jpg,,,,,,,,,,,,,,,,,,,,,51,0.51,,,,,,,,,,,41.54,4154,,,,,,,,,,,,,,,83,8308,20,,103.75,9231,,E140010,E100010 - Deaktiveret,E140010 - Deaktiveret
6,7910-1,,,,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/7910-1.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7910-1.jpg,,,,,,,,,,,,,,,,,,,,,22,0.22,,,,,,,,,,,42.12,4212,,,,,,,,,,,,,,,84.25,8424,20,,105.25,9360,,E140020,E100010 - Deaktiveret,E140020 - Deaktiveret
7,103809-1,,,,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/103809-1.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/103809-1.jpg,,,,,,,,,,,,,,,,,,,,,2,0.2,,,,,,,,,,,42.67,4267,,,,,,,,,,,,,,,85.25,8534,20,,106.5,9482.25,,E140030,E100010 - Deaktiveret,E140030 - Deaktiveret
8,142571,,,,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/142571.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/142571.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.27,4427,,,,,,,,,,,,,,,88.5,8854,20,,110.5,9837.75,,E140040,E100010 - Deaktiveret,E140040 - Deaktiveret
9,140562,,Alubakke Ready2Cook 1896ml L293xB193xH45mm med Apet plastlåg 10 sæt sampak,Alubakke 308 ml 160x110x26 mm,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/140562.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7357.jpg,ps,krt,ps,pk,10 stk/ps,140 stk/pk,10 stk/ps,10 pk x 140 stk/krt,5410555080269,5701022126260,Bakke findes på 105657 og låg på 38266-3,Der findes ikke låg til denne. jfh 22.4.2020.,12,10,,,,,,sølv,52,0.72,,,,,,,20,339,,,50.69,5540,,,,,192180200,533106950,15289.338524,286590.3666860001,,,READY2COOK,,,,101.5,11080,15,,119.5,12311,,E140050,E100010 - Deaktiveret,E140050 - Deaktiveret
