ORIGINAL_PROD_NAME;ImageURL;SalesUnitID;StockUnitID;PackingInfoInStockUnit;SalesUnit.PackingInfo;PROD_BARCODE_NUMBER;PROD_NOTES;UnitConvStockPurch;BunzlItemMainGroup;BunzlItemSubGroup;Color;PROD_WEIGHT;ItemABC;Code;Certifications;STOCK_COUNT;FIELD_18;PROD_COST_PRICE;FIELD_20;PrimaryVendorName;PrimaryVendorItemID;ItemNetSales;DataAreaID;BrandID;LeverandørLink;Column1;_1;_2;_3;_4;Flerstk. pris;Retail_Price;FIELD_17;VENDOR_NUM;PROD_NUM_old;PROD_NUM;FIELD_1;PROD_UNIT_ID;MANUFAC_ID;FIELD_2;LANGUAGE_ID;CURRENCY_CODE;PROD_SORT;PROD_MIN_BUY;PROD_HIDDEN;PROD_FRONT_PAGE;OMIT_FROM_FREE_SHIPPING_LIMIT;PROD_VAR_MASTER;PROD_SHOW_ON_GOOGLE_FEED;PROD_SHOW_ON_FACEBOOK_FEED;PROD_SHOW_ON_PRICERUNNER_FEED;PROD_SHOW_ON_KELKOO_FEED;PROD_SITE_SPECIFIC_SORTING;PROD_MAX_BUY;PROD_MIN_BUY_B2B;PROD_BACKORDER_AVAILABILITY_DAYS;STOCK_LIMIT;PROD_NEW;TOPLIST_HIDDEN;PROD_DELIVERY;PROD_DELIVERY_NOT_IN_STOCK;PROD_PREORDER;PROD_BACKORDER;PROD_TYPE_ID;CAT_NAME;CAT_ID;PROD_NAME
Låg Karton med PE 152x152 mm til vnr 7383;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7384-1.jpg;krt;pk;100 stk/pk;10 pk x 100 stk/krt;5701022198335;Måler 152 x 152 mm;10;HOTFOOD;FOILCONT;Hvid;0,62;C;;;8;;2126;152 x 152 mm;Plus Pack A/S;0835740000;15560.031872000003;mln;;https://www.pluspack.com/products/category/all-products;;;;;;4252;4724,5;100 stk/pk;ML7384-1;E139960;E139960 - Deaktiveret;1 pk (á 100 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;Firkantede alubakker;1130101000000;Låg Karton med PE 152x152 mm
Alubakke 35 ml Ø77x14 mm Rund;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7447.jpg;krt;pk;100 stk/pk;20 pk x 100 stk/krt;5701022000348;udgået. skiftet til 121140 til billigere pris. jfh 19.6.2020.;20;HOTFOOD;FOILCONT;sølv;0,1;C;;;59;;2402;;Plus Pack A/S;0510406900;28797.065679999985;mln;;https://www.pluspack.com/products/category/all-products;;;;;;4804;5337,75;100 stk/pk;ML7447;E139970;E139970 - Deaktiveret;1 pk (á 100 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;Runde alubakker;1130102000000;Alubakke 35 ml Ø77x14 mm Rund
Alubakke Ready2Cook 750 ml 178x136x45 mm med Apet plastlåg 10 sæt sampak;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/122097-1.jpg;krt;ps;10 stk/ps;12 ps x 10 stk/krt;5410555080979;;12;HOTFOOD;FOILCONT;Grå;0,28;C;;;24;;2851;178x136x45 mm;Plus Pack A/S;72680201;6416.107939000001;mln;;https://www.pluspack.com/products/category/all-products;;;;;;5702;6335,5;10 stk/ps;ML122097-1;E139980;E139980 - Deaktiveret;1 ps (á 10 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;Firkantede alubakker;1130101000000;Alubakke Ready2Cook 750 ml 178x136x45 mm med Apet plastlåg 10 sæt sampak
Snap-on låg APET klar L114xB88xH9mm;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7920.jpg;krt;pk;100 stk/pk;10 pk x 100 stk/krt;5701022126734;;10;HOTFOOD;FOILCONT;Klar;0,28;C;;;109;;3079;;Plus Pack A/S;0762569800;24890.324588999996;mln;;https://www.pluspack.com/products/category/all-products;;;;;;6158;6842,25;100 stk/pk;ML7920;E139990;E139990 - Deaktiveret;1 pk (á 100 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;Runde alubakker;1130102000000;Snap-on låg APET klar L114xB88xH9mm
Alubakke Ready2Cook 964 ml 234x138x43 m med Apet plastlåg 10 sæt sampak;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/122098-1.jpg;krt;ps;10 stk/ps;12 ps x 10 stk/krt;5410555080900;;12;HOTFOOD;FOILCONT;Grå;0,32;B;;;99;;3179;234x138x43 mm;Plus Pack A/S;94180201;34256.10673600001;mln;;https://www.pluspack.com/products/category/all-products;;;;;;6358;7064,5;10 stk/ps;ML122098-1;E140000;E140000 - Deaktiveret;1 ps (á 10 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;;;Alubakke Ready2Cook 964 ml 234x138x43 m med Apet plastlåg 10 sæt sampak
Alubakke Ready2Cook 1442 ml 265x162x47 mm med Apet plastlåg 10 sæt sampak;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/122099-1.jpg;krt;ps;10 stk/ps;12 ps x 10 stk/krt;5410555080948;;12;HOTFOOD;FOILCONT;Grå;0,51;C;;;71;;4154;265x162x47 mm;Plus Pack A/S;140180201;36655.287220000035;mln;;https://www.pluspack.com/products/category/all-products;;;;;;8308;9231;10 stk/ps;ML122099-1;E140010;E140010 - Deaktiveret;1 ps (á 10 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;;;Alubakke Ready2Cook 1442 ml 265x162x47 mm med Apet plastlåg 10 sæt sampak
Snap-on låg APET klar til 7405;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7910-1.jpg;krt;ps;100 stk/ps;14 ps x 100 stk/krt;5710876272023;;14;HOTFOOD;FOILCONT;Klar;0,22;C;;;35;;4212;;Plus Pack A/S;0761469800;55725.346628999985;mln;;https://www.pluspack.com/products/category/all-products;;;;;;8424;9360;100 stk/ps;ML7910-1;E140020;E140020 - Deaktiveret;1 ps (á 100 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;Runde alubakker;1130102000000;Snap-on låg APET klar
Alubakke 90 ml Ø75x34 mm Rund;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/103809-1.jpg;krt;pk;100 stk/pk;15 pk x 100 stk/krt;5410555078099;;15;HOTFOOD;FOILCONT;;0,2;B;;;44;;4267;Ø 75 mm x34 mm;Plus Pack A/S;0710910599;16579.280158000005;mln;;https://www.pluspack.com/products/category/all-products;;;;;;8534;9482,25;100 stk/pk;ML103809-1;E140030;E140030 - Deaktiveret;1 pk (á 100 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;Runde alubakker;1130102000000;Alubakke 90 ml Ø75x34 mm Rund
Alubakke 250ml L108xB83xH42mm;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/142571.jpg;krt;pk;100 stk/pk;10 pk x 100 stk/krt;5701022215544;142571,17-04-2024,CW: Tilhørende låg på 7920;10;HOTFOOD;FOILCONT;sølv;0;B;;;226;;4427;;Plus Pack A/S;0732410200;74354.97980400002;mln;;https://www.pluspack.com/products/category/all-products;;;;;;8854;9837,75;100 stk/pk;ML142571;E140040;E140040 - Deaktiveret;1 pk (á 100 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;;;Alubakke 250ml L108xB83xH42mm
Alubakke 308 ml 160x110x26 mm;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7357.jpg;krt;pk;140 stk/pk;10 pk x 140 stk/krt;5701022126260;Der findes ikke låg til denne. jfh 22.4.2020.;10;HOTFOOD;FOILCONT;sølv;0,72;C;;;339;;5540;;Plus Pack A/S;0533106950;286590.3666860001;mln;;https://www.pluspack.com/products/category/all-products;;;;;;11080;12311;140 stk/pk;ML7357;E140050;E140050 - Deaktiveret;1 pk (á 140 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;;;Alubakke 308 ml 160x110x26 mm
